TIME	From IP	From Port	To IP	To Port	Method	Error	ASCII	Hex
5:48:59.747 pm	127.0.0.1	58359	You	63921	UDP		16.7573 5.6461 8.8599 -177.2577 5.791 178.2201	31 36 2E 37 35 37 33 20 35 2E 36 34 36 31 20 38 2E 38 35 39 39 20 2D 31 37 37 2E 32 35 37 37 20 35 2E 37 39 31 20 31 37 38 2E 32 32 30 31	
5:48:59.747 pm	127.0.0.1	58360	You	63921	UDP		16.7509 5.6575 8.8586 -177.3945 5.8098 178.2942	31 36 2E 37 35 30 39 20 35 2E 36 35 37 35 20 38 2E 38 35 38 36 20 2D 31 37 37 2E 33 39 34 35 20 35 2E 38 30 39 38 20 31 37 38 2E 32 39 34 32	
5:48:59.835 pm	127.0.0.1	58361	You	63921	UDP		16.7511 5.6496 8.8827 -177.3555 5.7699 178.1714	31 36 2E 37 35 31 31 20 35 2E 36 34 39 36 20 38 2E 38 38 32 37 20 2D 31 37 37 2E 33 35 35 35 20 35 2E 37 36 39 39 20 31 37 38 2E 31 37 31 34	
5:48:59.881 pm	127.0.0.1	58362	You	63921	UDP		16.7463 5.6563 8.8616 -177.3277 5.7877 178.3125	31 36 2E 37 34 36 33 20 35 2E 36 35 36 33 20 38 2E 38 36 31 36 20 2D 31 37 37 2E 33 32 37 37 20 35 2E 37 38 37 37 20 31 37 38 2E 33 31 32 35	
5:48:59.918 pm	127.0.0.1	58363	You	63921	UDP		16.761 5.652 8.8784 -177.4034 5.7934 178.1487	31 36 2E 37 36 31 20 35 2E 36 35 32 20 38 2E 38 37 38 34 20 2D 31 37 37 2E 34 30 33 34 20 35 2E 37 39 33 34 20 31 37 38 2E 31 34 38 37	
5:48:59.968 pm	127.0.0.1	58364	You	63921	UDP		16.7413 5.6502 8.8476 -177.2054 5.7969 178.3919	31 36 2E 37 34 31 33 20 35 2E 36 35 30 32 20 38 2E 38 34 37 36 20 2D 31 37 37 2E 32 30 35 34 20 35 2E 37 39 36 39 20 31 37 38 2E 33 39 31 39	
5:49:00.010 pm	127.0.0.1	58365	You	63921	UDP		16.7461 5.6568 8.8637 -177.3212 5.7863 178.3123	31 36 2E 37 34 36 31 20 35 2E 36 35 36 38 20 38 2E 38 36 33 37 20 2D 31 37 37 2E 33 32 31 32 20 35 2E 37 38 36 33 20 31 37 38 2E 33 31 32 33	
5:49:00.068 pm	127.0.0.1	58366	You	63921	UDP		16.7467 5.6522 8.8436 -177.257 5.8103 178.3613	31 36 2E 37 34 36 37 20 35 2E 36 35 32 32 20 38 2E 38 34 33 36 20 2D 31 37 37 2E 32 35 37 20 35 2E 38 31 30 33 20 31 37 38 2E 33 36 31 33	
5:49:00.102 pm	127.0.0.1	58367	You	63921	UDP		16.7459 5.6563 8.8626 -177.3252 5.7908 178.3026	31 36 2E 37 34 35 39 20 35 2E 36 35 36 33 20 38 2E 38 36 32 36 20 2D 31 37 37 2E 33 32 35 32 20 35 2E 37 39 30 38 20 31 37 38 2E 33 30 32 36	
5:49:00.176 pm	127.0.0.1	58368	You	63921	UDP		16.7511 5.6565 8.8591 -177.3884 5.8055 178.2976	31 36 2E 37 35 31 31 20 35 2E 36 35 36 35 20 38 2E 38 35 39 31 20 2D 31 37 37 2E 33 38 38 34 20 35 2E 38 30 35 35 20 31 37 38 2E 32 39 37 36	
5:49:00.185 pm	127.0.0.1	58369	You	63921	UDP		16.7435 5.6477 8.8603 -177.3084 5.8041 178.2964	31 36 2E 37 34 33 35 20 35 2E 36 34 37 37 20 38 2E 38 36 30 33 20 2D 31 37 37 2E 33 30 38 34 20 35 2E 38 30 34 31 20 31 37 38 2E 32 39 36 34	
5:49:00.216 pm	127.0.0.1	58370	You	63921	UDP		16.7489 5.6516 8.8411 -177.26 5.8118 178.3672	31 36 2E 37 34 38 39 20 35 2E 36 35 31 36 20 38 2E 38 34 31 31 20 2D 31 37 37 2E 32 36 20 35 2E 38 31 31 38 20 31 37 38 2E 33 36 37 32	
5:49:00.248 pm	127.0.0.1	58371	You	63921	UDP		16.7397 5.6493 8.8483 -177.1917 5.7925 178.3825	31 36 2E 37 33 39 37 20 35 2E 36 34 39 33 20 38 2E 38 34 38 33 20 2D 31 37 37 2E 31 39 31 37 20 35 2E 37 39 32 35 20 31 37 38 2E 33 38 32 35	
5:49:00.283 pm	127.0.0.1	58372	You	63921	UDP		16.7581 5.6548 8.8667 -177.2554 5.8031 178.2948	31 36 2E 37 35 38 31 20 35 2E 36 35 34 38 20 38 2E 38 36 36 37 20 2D 31 37 37 2E 32 35 35 34 20 35 2E 38 30 33 31 20 31 37 38 2E 32 39 34 38	
5:49:00.319 pm	127.0.0.1	58373	You	63921	UDP		16.7527 5.6524 8.8833 -177.3498 5.7749 178.1677	31 36 2E 37 35 32 37 20 35 2E 36 35 32 34 20 38 2E 38 38 33 33 20 2D 31 37 37 2E 33 34 39 38 20 35 2E 37 37 34 39 20 31 37 38 2E 31 36 37 37	
5:49:00.358 pm	127.0.0.1	58374	You	63921	UDP		16.7463 5.6549 8.8622 -177.3362 5.7839 178.3016	31 36 2E 37 34 36 33 20 35 2E 36 35 34 39 20 38 2E 38 36 32 32 20 2D 31 37 37 2E 33 33 36 32 20 35 2E 37 38 33 39 20 31 37 38 2E 33 30 31 36	
5:49:00.418 pm	127.0.0.1	58375	You	63921	UDP		16.7428 5.65 8.8459 -177.1887 5.785 178.3884	31 36 2E 37 34 32 38 20 35 2E 36 35 20 38 2E 38 34 35 39 20 2D 31 37 37 2E 31 38 38 37 20 35 2E 37 38 35 20 31 37 38 2E 33 38 38 34	
