TIME	From IP	From Port	To IP	To Port	Method	Error	ASCII	Hex
5:46:32.700 pm	127.0.0.1	55296	You	63921	UDP		493.147 253.8558 14.0408 0.59248 2.1223 1.2612	34 39 33 2E 31 34 37 20 32 35 33 2E 38 35 35 38 20 31 34 2E 30 34 30 38 20 30 2E 35 39 32 34 38 20 32 2E 31 32 32 33 20 31 2E 32 36 31 32	
5:46:32.706 pm	127.0.0.1	55297	You	63921	UDP		493.0171 253.9179 13.9275 0.35074 2.2081 0.82495	34 39 33 2E 30 31 37 31 20 32 35 33 2E 39 31 37 39 20 31 33 2E 39 32 37 35 20 30 2E 33 35 30 37 34 20 32 2E 32 30 38 31 20 30 2E 38 32 34 39 35	
5:46:32.751 pm	127.0.0.1	55298	You	63921	UDP		492.8525 254.0127 13.8787 0.33138 1.9429 0.65626	34 39 32 2E 38 35 32 35 20 32 35 34 2E 30 31 32 37 20 31 33 2E 38 37 38 37 20 30 2E 33 33 31 33 38 20 31 2E 39 34 32 39 20 30 2E 36 35 36 32 36	
5:46:32.786 pm	127.0.0.1	55299	You	63921	UDP		493.1697 253.8211 14.0538 0.44175 1.8729 1.7036	34 39 33 2E 31 36 39 37 20 32 35 33 2E 38 32 31 31 20 31 34 2E 30 35 33 38 20 30 2E 34 34 31 37 35 20 31 2E 38 37 32 39 20 31 2E 37 30 33 36	
5:46:32.830 pm	127.0.0.1	55300	You	63921	UDP		493.0087 253.9108 13.9102 0.21538 2.1087 0.83742	34 39 33 2E 30 30 38 37 20 32 35 33 2E 39 31 30 38 20 31 33 2E 39 31 30 32 20 30 2E 32 31 35 33 38 20 32 2E 31 30 38 37 20 30 2E 38 33 37 34 32	
5:46:32.872 pm	127.0.0.1	55301	You	63921	UDP		493.0076 253.9184 13.9159 0.2414 2.094 0.82394	34 39 33 2E 30 30 37 36 20 32 35 33 2E 39 31 38 34 20 31 33 2E 39 31 35 39 20 30 2E 32 34 31 34 20 32 2E 30 39 34 20 30 2E 38 32 33 39 34	
5:46:32.923 pm	127.0.0.1	55302	You	63921	UDP		493.1652 253.83 14.0447 0.42843 1.843 1.6198	34 39 33 2E 31 36 35 32 20 32 35 33 2E 38 33 20 31 34 2E 30 34 34 37 20 30 2E 34 32 38 34 33 20 31 2E 38 34 33 20 31 2E 36 31 39 38	
5:46:32.978 pm	127.0.0.1	55303	You	63921	UDP		493.1602 253.827 14.0406 0.3988 1.8804 1.6331	34 39 33 2E 31 36 30 32 20 32 35 33 2E 38 32 37 20 31 34 2E 30 34 30 36 20 30 2E 33 39 38 38 20 31 2E 38 38 30 34 20 31 2E 36 33 33 31	
5:46:33.005 pm	127.0.0.1	55304	You	63921	UDP		493.162 253.8253 14.0431 0.43683 1.8791 1.5874	34 39 33 2E 31 36 32 20 32 35 33 2E 38 32 35 33 20 31 34 2E 30 34 33 31 20 30 2E 34 33 36 38 33 20 31 2E 38 37 39 31 20 31 2E 35 38 37 34	
5:46:33.036 pm	127.0.0.1	55305	You	63921	UDP		493.0185 253.9176 13.939 0.29833 2.1336 0.85143	34 39 33 2E 30 31 38 35 20 32 35 33 2E 39 31 37 36 20 31 33 2E 39 33 39 20 30 2E 32 39 38 33 33 20 32 2E 31 33 33 36 20 30 2E 38 35 31 34 33	
