TIME	From IP	From Port	To IP	To Port	Method	Error	ASCII	Hex
5:47:07.196 pm	127.0.0.1	55980	You	63921	UDP		134.608 -87.5296 471.4429 179.874 -41.4398 174.1356	31 33 34 2E 36 30 38 20 2D 38 37 2E 35 32 39 36 20 34 37 31 2E 34 34 32 39 20 31 37 39 2E 38 37 34 20 2D 34 31 2E 34 33 39 38 20 31 37 34 2E 31 33 35 36	
5:47:07.196 pm	127.0.0.1	55981	You	63921	UDP		134.3884 -88.106 471.725 -179.6982 -41.3975 177.5325	31 33 34 2E 33 38 38 34 20 2D 38 38 2E 31 30 36 20 34 37 31 2E 37 32 35 20 2D 31 37 39 2E 36 39 38 32 20 2D 34 31 2E 33 39 37 35 20 31 37 37 2E 35 33 32 35	
5:47:07.208 pm	127.0.0.1	55982	You	63921	UDP		134.3884 -88.106 471.725 -179.6982 -41.3975 177.5325	31 33 34 2E 33 38 38 34 20 2D 38 38 2E 31 30 36 20 34 37 31 2E 37 32 35 20 2D 31 37 39 2E 36 39 38 32 20 2D 34 31 2E 33 39 37 35 20 31 37 37 2E 35 33 32 35	
5:47:07.254 pm	127.0.0.1	55983	You	63921	UDP		134.3884 -88.106 471.725 -179.6982 -41.3975 177.5325	31 33 34 2E 33 38 38 34 20 2D 38 38 2E 31 30 36 20 34 37 31 2E 37 32 35 20 2D 31 37 39 2E 36 39 38 32 20 2D 34 31 2E 33 39 37 35 20 31 37 37 2E 35 33 32 35	
5:47:07.285 pm	127.0.0.1	55984	You	63921	UDP		133.9451 -89.1904 471.316 179.6284 -41.9221 177.2773	31 33 33 2E 39 34 35 31 20 2D 38 39 2E 31 39 30 34 20 34 37 31 2E 33 31 36 20 31 37 39 2E 36 32 38 34 20 2D 34 31 2E 39 32 32 31 20 31 37 37 2E 32 37 37 33	
5:47:07.318 pm	127.0.0.1	55985	You	63921	UDP		133.9896 -89.7368 470.7131 -178.1557 -40.965 177.7925	31 33 33 2E 39 38 39 36 20 2D 38 39 2E 37 33 36 38 20 34 37 30 2E 37 31 33 31 20 2D 31 37 38 2E 31 35 35 37 20 2D 34 30 2E 39 36 35 20 31 37 37 2E 37 39 32 35	
5:47:07.377 pm	127.0.0.1	55986	You	63921	UDP		133.8369 -90.0866 470.6006 -178.4796 -40.7873 177.7152	31 33 33 2E 38 33 36 39 20 2D 39 30 2E 30 38 36 36 20 34 37 30 2E 36 30 30 36 20 2D 31 37 38 2E 34 37 39 36 20 2D 34 30 2E 37 38 37 33 20 31 37 37 2E 37 31 35 32	
5:47:07.414 pm	127.0.0.1	55987	You	63921	UDP		133.54 -90.5381 470.3775 -178.8304 -41.0695 177.5917	31 33 33 2E 35 34 20 2D 39 30 2E 35 33 38 31 20 34 37 30 2E 33 37 37 35 20 2D 31 37 38 2E 38 33 30 34 20 2D 34 31 2E 30 36 39 35 20 31 37 37 2E 35 39 31 37	
5:47:07.446 pm	127.0.0.1	55988	You	63921	UDP		133.563 -90.5668 470.2784 -177.9405 -40.8257 178.2018	31 33 33 2E 35 36 33 20 2D 39 30 2E 35 36 36 38 20 34 37 30 2E 32 37 38 34 20 2D 31 37 37 2E 39 34 30 35 20 2D 34 30 2E 38 32 35 37 20 31 37 38 2E 32 30 31 38	
5:47:07.488 pm	127.0.0.1	55989	You	63921	UDP		133.563 -90.5668 470.2784 -177.9405 -40.8257 178.2018	31 33 33 2E 35 36 33 20 2D 39 30 2E 35 36 36 38 20 34 37 30 2E 32 37 38 34 20 2D 31 37 37 2E 39 34 30 35 20 2D 34 30 2E 38 32 35 37 20 31 37 38 2E 32 30 31 38	
5:47:07.519 pm	127.0.0.1	55990	You	63921	UDP		133.1852 -90.7543 470.0716 -178.5219 -41.2753 178.3934	31 33 33 2E 31 38 35 32 20 2D 39 30 2E 37 35 34 33 20 34 37 30 2E 30 37 31 36 20 2D 31 37 38 2E 35 32 31 39 20 2D 34 31 2E 32 37 35 33 20 31 37 38 2E 33 39 33 34	
5:47:07.556 pm	127.0.0.1	55991	You	63921	UDP		133.1852 -90.7543 470.0716 -178.5219 -41.2753 178.3934	31 33 33 2E 31 38 35 32 20 2D 39 30 2E 37 35 34 33 20 34 37 30 2E 30 37 31 36 20 2D 31 37 38 2E 35 32 31 39 20 2D 34 31 2E 32 37 35 33 20 31 37 38 2E 33 39 33 34	
5:47:07.599 pm	127.0.0.1	55992	You	63921	UDP		132.431 -90.6905 469.7393 -178.1248 -40.615 178.2233	31 33 32 2E 34 33 31 20 2D 39 30 2E 36 39 30 35 20 34 36 39 2E 37 33 39 33 20 2D 31 37 38 2E 31 32 34 38 20 2D 34 30 2E 36 31 35 20 31 37 38 2E 32 32 33 33	
5:47:07.629 pm	127.0.0.1	55993	You	63921	UDP		132.431 -90.6905 469.7393 -178.1248 -40.615 178.2233	31 33 32 2E 34 33 31 20 2D 39 30 2E 36 39 30 35 20 34 36 39 2E 37 33 39 33 20 2D 31 37 38 2E 31 32 34 38 20 2D 34 30 2E 36 31 35 20 31 37 38 2E 32 32 33 33	
5:47:07.746 pm	127.0.0.1	55994	You	63921	UDP		131.975 -91.2392 469.1775 175.9511 -39.3894 170.4426	31 33 31 2E 39 37 35 20 2D 39 31 2E 32 33 39 32 20 34 36 39 2E 31 37 37 35 20 31 37 35 2E 39 35 31 31 20 2D 33 39 2E 33 38 39 34 20 31 37 30 2E 34 34 32 36	
5:47:07.847 pm	127.0.0.1	55995	You	63921	UDP		131.975 -91.2392 469.1775 175.9511 -39.3894 170.4426	31 33 31 2E 39 37 35 20 2D 39 31 2E 32 33 39 32 20 34 36 39 2E 31 37 37 35 20 31 37 35 2E 39 35 31 31 20 2D 33 39 2E 33 38 39 34 20 31 37 30 2E 34 34 32 36	
5:47:07.847 pm	127.0.0.1	55996	You	63921	UDP		131.975 -91.2392 469.1775 175.9511 -39.3894 170.4426	31 33 31 2E 39 37 35 20 2D 39 31 2E 32 33 39 32 20 34 36 39 2E 31 37 37 35 20 31 37 35 2E 39 35 31 31 20 2D 33 39 2E 33 38 39 34 20 31 37 30 2E 34 34 32 36	
5:47:07.867 pm	127.0.0.1	55997	You	63921	UDP		131.975 -91.2392 469.1775 175.9511 -39.3894 170.4426	31 33 31 2E 39 37 35 20 2D 39 31 2E 32 33 39 32 20 34 36 39 2E 31 37 37 35 20 31 37 35 2E 39 35 31 31 20 2D 33 39 2E 33 38 39 34 20 31 37 30 2E 34 34 32 36	
5:47:07.943 pm	127.0.0.1	55998	You	63921	UDP		131.4618 -90.9974 468.3375 -175.2508 -40.9599 -179.364	31 33 31 2E 34 36 31 38 20 2D 39 30 2E 39 39 37 34 20 34 36 38 2E 33 33 37 35 20 2D 31 37 35 2E 32 35 30 38 20 2D 34 30 2E 39 35 39 39 20 2D 31 37 39 2E 33 36 34	
5:47:07.957 pm	127.0.0.1	55999	You	63921	UDP		131.4618 -90.9974 468.3375 -175.2508 -40.9599 -179.364	31 33 31 2E 34 36 31 38 20 2D 39 30 2E 39 39 37 34 20 34 36 38 2E 33 33 37 35 20 2D 31 37 35 2E 32 35 30 38 20 2D 34 30 2E 39 35 39 39 20 2D 31 37 39 2E 33 36 34	
5:47:07.993 pm	127.0.0.1	56000	You	63921	UDP		131.35 -90.7162 468.2107 -177.6846 -40.4571 178.7194	31 33 31 2E 33 35 20 2D 39 30 2E 37 31 36 32 20 34 36 38 2E 32 31 30 37 20 2D 31 37 37 2E 36 38 34 36 20 2D 34 30 2E 34 35 37 31 20 31 37 38 2E 37 31 39 34	
5:47:08.071 pm	127.0.0.1	56001	You	63921	UDP		131.35 -90.7162 468.2107 -177.6846 -40.4571 178.7194	31 33 31 2E 33 35 20 2D 39 30 2E 37 31 36 32 20 34 36 38 2E 32 31 30 37 20 2D 31 37 37 2E 36 38 34 36 20 2D 34 30 2E 34 35 37 31 20 31 37 38 2E 37 31 39 34	
5:47:08.163 pm	127.0.0.1	56002	You	63921	UDP		131.2829 -89.6041 468.5705 -176.7362 -39.1046 178.3626	31 33 31 2E 32 38 32 39 20 2D 38 39 2E 36 30 34 31 20 34 36 38 2E 35 37 30 35 20 2D 31 37 36 2E 37 33 36 32 20 2D 33 39 2E 31 30 34 36 20 31 37 38 2E 33 36 32 36	
5:47:08.188 pm	127.0.0.1	56003	You	63921	UDP		131.0339 -89.7186 468.6634 179.5462 -39.9044 173.145	31 33 31 2E 30 33 33 39 20 2D 38 39 2E 37 31 38 36 20 34 36 38 2E 36 36 33 34 20 31 37 39 2E 35 34 36 32 20 2D 33 39 2E 39 30 34 34 20 31 37 33 2E 31 34 35	
5:47:08.253 pm	127.0.0.1	56004	You	63921	UDP		130.2028 -89.8295 468.7475 -179.4559 -41.3352 172.9705	31 33 30 2E 32 30 32 38 20 2D 38 39 2E 38 32 39 35 20 34 36 38 2E 37 34 37 35 20 2D 31 37 39 2E 34 35 35 39 20 2D 34 31 2E 33 33 35 32 20 31 37 32 2E 39 37 30 35	
5:47:08.265 pm	127.0.0.1	56005	You	63921	UDP		130.0627 -90.2097 468.5164 -179.1462 -40.1102 175.5671	31 33 30 2E 30 36 32 37 20 2D 39 30 2E 32 30 39 37 20 34 36 38 2E 35 31 36 34 20 2D 31 37 39 2E 31 34 36 32 20 2D 34 30 2E 31 31 30 32 20 31 37 35 2E 35 36 37 31	
5:47:08.304 pm	127.0.0.1	56006	You	63921	UDP		129.6887 -90.651 468.4042 -179.4787 -40.0266 174.6893	31 32 39 2E 36 38 38 37 20 2D 39 30 2E 36 35 31 20 34 36 38 2E 34 30 34 32 20 2D 31 37 39 2E 34 37 38 37 20 2D 34 30 2E 30 32 36 36 20 31 37 34 2E 36 38 39 33	
5:47:08.381 pm	127.0.0.1	56007	You	63921	UDP		129.6887 -90.651 468.4042 -179.4787 -40.0266 174.6893	31 32 39 2E 36 38 38 37 20 2D 39 30 2E 36 35 31 20 34 36 38 2E 34 30 34 32 20 2D 31 37 39 2E 34 37 38 37 20 2D 34 30 2E 30 32 36 36 20 31 37 34 2E 36 38 39 33	
5:47:08.395 pm	127.0.0.1	56008	You	63921	UDP		129.6887 -90.651 468.4042 -179.4787 -40.0266 174.6893	31 32 39 2E 36 38 38 37 20 2D 39 30 2E 36 35 31 20 34 36 38 2E 34 30 34 32 20 2D 31 37 39 2E 34 37 38 37 20 2D 34 30 2E 30 32 36 36 20 31 37 34 2E 36 38 39 33	
5:47:08.435 pm	127.0.0.1	56009	You	63921	UDP		129.6887 -90.651 468.4042 -179.4787 -40.0266 174.6893	31 32 39 2E 36 38 38 37 20 2D 39 30 2E 36 35 31 20 34 36 38 2E 34 30 34 32 20 2D 31 37 39 2E 34 37 38 37 20 2D 34 30 2E 30 32 36 36 20 31 37 34 2E 36 38 39 33	
5:47:08.496 pm	127.0.0.1	56010	You	63921	UDP		129.7419 -92.05 468.3604 -178.0755 -39.6839 177.6529	31 32 39 2E 37 34 31 39 20 2D 39 32 2E 30 35 20 34 36 38 2E 33 36 30 34 20 2D 31 37 38 2E 30 37 35 35 20 2D 33 39 2E 36 38 33 39 20 31 37 37 2E 36 35 32 39	
5:47:08.537 pm	127.0.0.1	56011	You	63921	UDP		130.6196 -91.9739 468.4272 -176.3369 -38.998 179.5353	31 33 30 2E 36 31 39 36 20 2D 39 31 2E 39 37 33 39 20 34 36 38 2E 34 32 37 32 20 2D 31 37 36 2E 33 33 36 39 20 2D 33 38 2E 39 39 38 20 31 37 39 2E 35 33 35 33	
5:47:08.613 pm	127.0.0.1	56012	You	63921	UDP		130.6196 -91.9739 468.4272 -176.3369 -38.998 179.5353	31 33 30 2E 36 31 39 36 20 2D 39 31 2E 39 37 33 39 20 34 36 38 2E 34 32 37 32 20 2D 31 37 36 2E 33 33 36 39 20 2D 33 38 2E 39 39 38 20 31 37 39 2E 35 33 35 33	
5:47:08.621 pm	127.0.0.1	56013	You	63921	UDP		130.6196 -91.9739 468.4272 -176.3369 -38.998 179.5353	31 33 30 2E 36 31 39 36 20 2D 39 31 2E 39 37 33 39 20 34 36 38 2E 34 32 37 32 20 2D 31 37 36 2E 33 33 36 39 20 2D 33 38 2E 39 39 38 20 31 37 39 2E 35 33 35 33	
5:47:08.711 pm	127.0.0.1	56014	You	63921	UDP		130.5433 -92.0946 468.6679 -177.7095 -38.9694 178.1664	31 33 30 2E 35 34 33 33 20 2D 39 32 2E 30 39 34 36 20 34 36 38 2E 36 36 37 39 20 2D 31 37 37 2E 37 30 39 35 20 2D 33 38 2E 39 36 39 34 20 31 37 38 2E 31 36 36 34	
5:47:08.711 pm	127.0.0.1	56015	You	63921	UDP		131.1414 -91.9129 468.788 -178.1346 -41.3352 178.0764	31 33 31 2E 31 34 31 34 20 2D 39 31 2E 39 31 32 39 20 34 36 38 2E 37 38 38 20 2D 31 37 38 2E 31 33 34 36 20 2D 34 31 2E 33 33 35 32 20 31 37 38 2E 30 37 36 34	
5:47:08.756 pm	127.0.0.1	56016	You	63921	UDP		130.687 -92.1562 468.7229 -178.0017 -39.2765 177.8997	31 33 30 2E 36 38 37 20 2D 39 32 2E 31 35 36 32 20 34 36 38 2E 37 32 32 39 20 2D 31 37 38 2E 30 30 31 37 20 2D 33 39 2E 32 37 36 35 20 31 37 37 2E 38 39 39 37	
5:47:08.812 pm	127.0.0.1	56017	You	63921	UDP		130.756 -92.2485 468.7498 -178.2067 -39.428 177.9	31 33 30 2E 37 35 36 20 2D 39 32 2E 32 34 38 35 20 34 36 38 2E 37 34 39 38 20 2D 31 37 38 2E 32 30 36 37 20 2D 33 39 2E 34 32 38 20 31 37 37 2E 39	
5:47:08.948 pm	127.0.0.1	56018	You	63921	UDP		130.756 -92.2485 468.7498 -178.2067 -39.428 177.9	31 33 30 2E 37 35 36 20 2D 39 32 2E 32 34 38 35 20 34 36 38 2E 37 34 39 38 20 2D 31 37 38 2E 32 30 36 37 20 2D 33 39 2E 34 32 38 20 31 37 37 2E 39	
5:47:08.948 pm	127.0.0.1	56019	You	63921	UDP		130.756 -92.2485 468.7498 -178.2067 -39.428 177.9	31 33 30 2E 37 35 36 20 2D 39 32 2E 32 34 38 35 20 34 36 38 2E 37 34 39 38 20 2D 31 37 38 2E 32 30 36 37 20 2D 33 39 2E 34 32 38 20 31 37 37 2E 39	
5:47:09.052 pm	127.0.0.1	56020	You	63921	UDP		130.756 -92.2485 468.7498 -178.2067 -39.428 177.9	31 33 30 2E 37 35 36 20 2D 39 32 2E 32 34 38 35 20 34 36 38 2E 37 34 39 38 20 2D 31 37 38 2E 32 30 36 37 20 2D 33 39 2E 34 32 38 20 31 37 37 2E 39	
5:47:09.052 pm	127.0.0.1	56021	You	63921	UDP		130.5359 -93.9301 467.8948 -177.3539 -38.8901 179.2154	31 33 30 2E 35 33 35 39 20 2D 39 33 2E 39 33 30 31 20 34 36 37 2E 38 39 34 38 20 2D 31 37 37 2E 33 35 33 39 20 2D 33 38 2E 38 39 30 31 20 31 37 39 2E 32 31 35 34	
5:47:09.076 pm	127.0.0.1	56022	You	63921	UDP		130.4289 -93.8722 467.9638 -178.6334 -39.2182 178.2538	31 33 30 2E 34 32 38 39 20 2D 39 33 2E 38 37 32 32 20 34 36 37 2E 39 36 33 38 20 2D 31 37 38 2E 36 33 33 34 20 2D 33 39 2E 32 31 38 32 20 31 37 38 2E 32 35 33 38	
5:47:09.162 pm	127.0.0.1	56023	You	63921	UDP		130.1707 -93.8978 467.8547 -177.2829 -38.218 179.1933	31 33 30 2E 31 37 30 37 20 2D 39 33 2E 38 39 37 38 20 34 36 37 2E 38 35 34 37 20 2D 31 37 37 2E 32 38 32 39 20 2D 33 38 2E 32 31 38 20 31 37 39 2E 31 39 33 33	
5:47:09.162 pm	127.0.0.1	56024	You	63921	UDP		130.1733 -93.6983 467.8657 -178.5078 -39.101 178.0733	31 33 30 2E 31 37 33 33 20 2D 39 33 2E 36 39 38 33 20 34 36 37 2E 38 36 35 37 20 2D 31 37 38 2E 35 30 37 38 20 2D 33 39 2E 31 30 31 20 31 37 38 2E 30 37 33 33	
5:47:09.179 pm	127.0.0.1	56025	You	63921	UDP		130.1733 -93.6983 467.8657 -178.5078 -39.101 178.0733	31 33 30 2E 31 37 33 33 20 2D 39 33 2E 36 39 38 33 20 34 36 37 2E 38 36 35 37 20 2D 31 37 38 2E 35 30 37 38 20 2D 33 39 2E 31 30 31 20 31 37 38 2E 30 37 33 33	
5:47:09.284 pm	127.0.0.1	56026	You	63921	UDP		130.1733 -93.6983 467.8657 -178.5078 -39.101 178.0733	31 33 30 2E 31 37 33 33 20 2D 39 33 2E 36 39 38 33 20 34 36 37 2E 38 36 35 37 20 2D 31 37 38 2E 35 30 37 38 20 2D 33 39 2E 31 30 31 20 31 37 38 2E 30 37 33 33	
5:47:09.284 pm	127.0.0.1	56027	You	63921	UDP		130.0193 -94.312 467.9733 -178.8946 46.8742 -4.267	31 33 30 2E 30 31 39 33 20 2D 39 34 2E 33 31 32 20 34 36 37 2E 39 37 33 33 20 2D 31 37 38 2E 38 39 34 36 20 34 36 2E 38 37 34 32 20 2D 34 2E 32 36 37	
5:47:09.284 pm	127.0.0.1	56028	You	63921	UDP		130.0193 -94.312 467.9733 -178.8946 46.8742 -4.267	31 33 30 2E 30 31 39 33 20 2D 39 34 2E 33 31 32 20 34 36 37 2E 39 37 33 33 20 2D 31 37 38 2E 38 39 34 36 20 34 36 2E 38 37 34 32 20 2D 34 2E 32 36 37	
5:47:09.297 pm	127.0.0.1	56029	You	63921	UDP		129.7101 -94.7719 467.7028 -177.4012 48.1427 -6.3109	31 32 39 2E 37 31 30 31 20 2D 39 34 2E 37 37 31 39 20 34 36 37 2E 37 30 32 38 20 2D 31 37 37 2E 34 30 31 32 20 34 38 2E 31 34 32 37 20 2D 36 2E 33 31 30 39	
5:47:09.380 pm	127.0.0.1	56030	You	63921	UDP		129.7101 -94.7719 467.7028 -177.4012 48.1427 -6.3109	31 32 39 2E 37 31 30 31 20 2D 39 34 2E 37 37 31 39 20 34 36 37 2E 37 30 32 38 20 2D 31 37 37 2E 34 30 31 32 20 34 38 2E 31 34 32 37 20 2D 36 2E 33 31 30 39	
5:47:09.401 pm	127.0.0.1	56031	You	63921	UDP		129.7101 -94.7719 467.7028 -177.4012 48.1427 -6.3109	31 32 39 2E 37 31 30 31 20 2D 39 34 2E 37 37 31 39 20 34 36 37 2E 37 30 32 38 20 2D 31 37 37 2E 34 30 31 32 20 34 38 2E 31 34 32 37 20 2D 36 2E 33 31 30 39	
5:47:09.489 pm	127.0.0.1	56032	You	63921	UDP		129.5236 -94.9 467.3647 177.5802 -37.427 173.916	31 32 39 2E 35 32 33 36 20 2D 39 34 2E 39 20 34 36 37 2E 33 36 34 37 20 31 37 37 2E 35 38 30 32 20 2D 33 37 2E 34 32 37 20 31 37 33 2E 39 31 36	
5:47:09.528 pm	127.0.0.1	56033	You	63921	UDP		129.5236 -94.9 467.3647 177.5802 -37.427 173.916	31 32 39 2E 35 32 33 36 20 2D 39 34 2E 39 20 34 36 37 2E 33 36 34 37 20 31 37 37 2E 35 38 30 32 20 2D 33 37 2E 34 32 37 20 31 37 33 2E 39 31 36	
5:47:09.589 pm	127.0.0.1	56034	You	63921	UDP		129.5236 -94.9 467.3647 177.5802 -37.427 173.916	31 32 39 2E 35 32 33 36 20 2D 39 34 2E 39 20 34 36 37 2E 33 36 34 37 20 31 37 37 2E 35 38 30 32 20 2D 33 37 2E 34 32 37 20 31 37 33 2E 39 31 36	
5:47:09.609 pm	127.0.0.1	56035	You	63921	UDP		129.5236 -94.9 467.3647 177.5802 -37.427 173.916	31 32 39 2E 35 32 33 36 20 2D 39 34 2E 39 20 34 36 37 2E 33 36 34 37 20 31 37 37 2E 35 38 30 32 20 2D 33 37 2E 34 32 37 20 31 37 33 2E 39 31 36	
5:47:09.759 pm	127.0.0.1	56036	You	63921	UDP		129.6491 -97.8878 466.4411 174.4794 -37.9883 170.6824	31 32 39 2E 36 34 39 31 20 2D 39 37 2E 38 38 37 38 20 34 36 36 2E 34 34 31 31 20 31 37 34 2E 34 37 39 34 20 2D 33 37 2E 39 38 38 33 20 31 37 30 2E 36 38 32 34	
5:47:09.801 pm	127.0.0.1	56037	You	63921	UDP		129.215 -98.6609 466.5854 176.9772 -36.9453 173.8679	31 32 39 2E 32 31 35 20 2D 39 38 2E 36 36 30 39 20 34 36 36 2E 35 38 35 34 20 31 37 36 2E 39 37 37 32 20 2D 33 36 2E 39 34 35 33 20 31 37 33 2E 38 36 37 39	
5:47:09.854 pm	127.0.0.1	56038	You	63921	UDP		129.215 -98.6609 466.5854 176.9772 -36.9453 173.8679	31 32 39 2E 32 31 35 20 2D 39 38 2E 36 36 30 39 20 34 36 36 2E 35 38 35 34 20 31 37 36 2E 39 37 37 32 20 2D 33 36 2E 39 34 35 33 20 31 37 33 2E 38 36 37 39	
5:47:09.963 pm	127.0.0.1	56039	You	63921	UDP		127.8809 -99.4091 466.4597 176.3206 -39.2771 172.5442	31 32 37 2E 38 38 30 39 20 2D 39 39 2E 34 30 39 31 20 34 36 36 2E 34 35 39 37 20 31 37 36 2E 33 32 30 36 20 2D 33 39 2E 32 37 37 31 20 31 37 32 2E 35 34 34 32	
5:47:10.063 pm	127.0.0.1	56040	You	63921	UDP		128.8914 -99.8181 466.6283 -178.8813 48.8576 -6.465	31 32 38 2E 38 39 31 34 20 2D 39 39 2E 38 31 38 31 20 34 36 36 2E 36 32 38 33 20 2D 31 37 38 2E 38 38 31 33 20 34 38 2E 38 35 37 36 20 2D 36 2E 34 36 35	
5:47:10.063 pm	127.0.0.1	56041	You	63921	UDP		128.8914 -99.8181 466.6283 -178.8813 48.8576 -6.465	31 32 38 2E 38 39 31 34 20 2D 39 39 2E 38 31 38 31 20 34 36 36 2E 36 32 38 33 20 2D 31 37 38 2E 38 38 31 33 20 34 38 2E 38 35 37 36 20 2D 36 2E 34 36 35	
5:47:10.165 pm	127.0.0.1	56042	You	63921	UDP		128.4575 -99.142 466.4069 175.7531 -37.5857 172.1362	31 32 38 2E 34 35 37 35 20 2D 39 39 2E 31 34 32 20 34 36 36 2E 34 30 36 39 20 31 37 35 2E 37 35 33 31 20 2D 33 37 2E 35 38 35 37 20 31 37 32 2E 31 33 36 32	
5:47:10.165 pm	127.0.0.1	56043	You	63921	UDP		128.0931 -98.8534 466.4298 175.1392 -37.1045 171.6042	31 32 38 2E 30 39 33 31 20 2D 39 38 2E 38 35 33 34 20 34 36 36 2E 34 32 39 38 20 31 37 35 2E 31 33 39 32 20 2D 33 37 2E 31 30 34 35 20 31 37 31 2E 36 30 34 32	
5:47:10.251 pm	127.0.0.1	56044	You	63921	UDP		127.8317 -98.719 466.7336 176.7781 -38.232 172.0912	31 32 37 2E 38 33 31 37 20 2D 39 38 2E 37 31 39 20 34 36 36 2E 37 33 33 36 20 31 37 36 2E 37 37 38 31 20 2D 33 38 2E 32 33 32 20 31 37 32 2E 30 39 31 32	
5:47:10.255 pm	127.0.0.1	56045	You	63921	UDP		128.0725 -98.4702 466.5341 175.8855 -34.9528 172.0336	31 32 38 2E 30 37 32 35 20 2D 39 38 2E 34 37 30 32 20 34 36 36 2E 35 33 34 31 20 31 37 35 2E 38 38 35 35 20 2D 33 34 2E 39 35 32 38 20 31 37 32 2E 30 33 33 36	
5:47:10.291 pm	127.0.0.1	56046	You	63921	UDP		127.0413 -98.1529 466.8681 177.7068 -39.6587 171.7423	31 32 37 2E 30 34 31 33 20 2D 39 38 2E 31 35 32 39 20 34 36 36 2E 38 36 38 31 20 31 37 37 2E 37 30 36 38 20 2D 33 39 2E 36 35 38 37 20 31 37 31 2E 37 34 32 33	
5:47:10.420 pm	127.0.0.1	56047	You	63921	UDP		127.0413 -98.1529 466.8681 177.7068 -39.6587 171.7423	31 32 37 2E 30 34 31 33 20 2D 39 38 2E 31 35 32 39 20 34 36 36 2E 38 36 38 31 20 31 37 37 2E 37 30 36 38 20 2D 33 39 2E 36 35 38 37 20 31 37 31 2E 37 34 32 33	
5:47:10.420 pm	127.0.0.1	56048	You	63921	UDP		127.5023 -98.3819 466.6766 177.3625 -37.6008 173.5508	31 32 37 2E 35 30 32 33 20 2D 39 38 2E 33 38 31 39 20 34 36 36 2E 36 37 36 36 20 31 37 37 2E 33 36 32 35 20 2D 33 37 2E 36 30 30 38 20 31 37 33 2E 35 35 30 38	
